Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
169,5,0.3029235,0,"[0, 0, 255]",0,2,B,Covert,4
170,5,0.3113648,0,"[255, 255, 0]",0,2,B,Covert,4
171,5,0.3275561,2,"[255, 255, 0]",0,2,B,Covert,4
172,5,0.4452854,0,"[0, 0, 255]",1,2,B,Covert,4
173,5,0.3554315,0,"[0, 0, 255]",1,2,B,Covert,4
174,5,0.3432769,0,"[0, 0, 255]",1,2,B,Covert,4
175,5,0.3487699,0,"[0, 0, 255]",1,2,B,Covert,4
176,5,0.3191921,0,"[0, 0, 255]",1,2,B,Covert,4
177,5,0.3028957,0,"[0, 0, 255]",1,2,B,Covert,4
178,5,0.3621351,0,"[255, 255, 0]",1,2,B,Covert,4
179,5,0.2729469,0,"[255, 255, 0]",1,2,B,Covert,4
180,5,0.2892836,0,"[255, 255, 0]",1,2,B,Covert,4
181,5,0.2331611,0,"[255, 255, 0]",1,2,B,Covert,4
182,5,0.4154662,2,"[0, 0, 255]",1,2,B,Covert,4
183,5,0.3877891,2,"[0, 0, 255]",1,2,B,Covert,4
184,5,0.3393571,2,"[0, 0, 255]",1,2,B,Covert,4
185,5,0.3319146,2,"[255, 255, 0]",1,2,B,Covert,4
186,5,0.343432,2,"[255, 255, 0]",1,2,B,Covert,4
187,5,0.3409884,2,"[255, 255, 0]",1,2,B,Covert,4
188,5,0.3560446,2,"[255, 255, 0]",1,2,B,Covert,4
189,5,0.3422571,2,"[255, 255, 0]",1,2,B,Covert,4
190,5,0.3184624,2,"[255, 255, 0]",1,2,B,Covert,4
191,5,0.2822006,2,"[255, 255, 0]",1,2,B,Covert,4
192,5,0.2868378,2,"[255, 255, 0]",1,2,B,Covert,4
193,10,0.3427036,0,"[0, 0, 255]",0,2,B,Covert,4
194,10,0.3409995,0,"[255, 255, 0]",0,2,B,Covert,4
195,10,0.3926726,2,"[255, 255, 0]",0,2,B,Covert,4
196,10,0.3360438,0,"[0, 0, 255]",1,2,B,Covert,4
197,10,0.332327,0,"[0, 0, 255]",1,2,B,Covert,4
198,10,0.3555315,0,"[0, 0, 255]",1,2,B,Covert,4
199,10,0.3094567,0,"[0, 0, 255]",1,2,B,Covert,4
200,10,0.3563779,0,"[0, 0, 255]",1,2,B,Covert,4
201,10,0.3316721,0,"[0, 0, 255]",1,2,B,Covert,4
202,10,0.3322129,0,"[255, 255, 0]",1,2,B,Covert,4
203,10,0.3286708,0,"[255, 255, 0]",1,2,B,Covert,4
204,10,0.3065374,0,"[255, 255, 0]",1,2,B,Covert,4
205,10,0.2901093,0,"[255, 255, 0]",1,2,B,Covert,4
206,10,0.461747,2,"[0, 0, 255]",1,2,B,Covert,4
207,10,0.5042966,2,"[0, 0, 255]",1,2,B,Covert,4
208,10,0.4376359,2,"[0, 0, 255]",1,2,B,Covert,4
209,10,0.3363537,2,"[0, 0, 255]",1,2,B,Covert,4
210,10,0.3821085,2,"[0, 0, 255]",1,2,B,Covert,4
211,10,0.3297298,2,"[0, 0, 255]",1,2,B,Covert,4
212,10,0.3039277,2,"[0, 0, 255]",1,2,B,Covert,4
213,10,0.3641879,2,"[255, 255, 0]",1,2,B,Covert,4
